Job Title,Skill,Frequency
Machine Learning Engineer,PyTorch,324
Machine Learning Engineer,TensorFlow,269
Machine Learning Engineer,AWS,214
Machine Learning Engineer,Deep Learning,183
Machine Learning Engineer,Java,181
Machine Learning Engineer,Azure,159
Machine Learning Engineer,Kubernetes,144
Machine Learning Engineer,Scala,142
Machine Learning Engineer,Spark,137
Machine Learning Engineer,Docker,136
Machine Learning Engineer,Communication,133
Machine Learning Engineer,SQL,122
Machine Learning Engineer,Tensorflow,122
Machine Learning Engineer,Cloud Computing,109
Machine Learning Engineer,Pandas,109
Machine Learning Engineer,Data Science,105
Machine Learning Engineer,Agile,102
Machine Learning Engineer,Data Preparation,100
Machine Learning Engineer,GCP,99
Machine Learning Engineer,Model Deployment,89
Machine Learning Engineer,Natural Language Processing,88
Machine Learning Engineer,Jupyter,87
Machine Learning Engineer,Data Pipelines,86
Machine Learning Engineer,Computer Science,86
Machine Learning Engineer,MLOps,86
Machine Learning Engineer,Numba,85
Machine Learning Engineer,Software Development,84
Machine Learning Engineer,Software Engineering,80
Machine Learning Engineer,Generative AI,78
Machine Learning Engineer,Feature Engineering,78
Machine Learning Engineer,Collaboration,78
Machine Learning Engineer,Google Cloud Platform,74
Machine Learning Engineer,Model Evaluation,74
Machine Learning Engineer,Dask,73
Machine Learning Engineer,Scikitlearn,73
Machine Learning Engineer,Machine learning,71
Machine Learning Engineer,DataBricks,70
Machine Learning Engineer,Torch,69
Machine Learning Engineer,DevOps,68
Machine Learning Engineer,MLFlow,68
Machine Learning Engineer,C++,67
Machine Learning Engineer,Artificial Intelligence,67
Machine Learning Engineer,Project Management,67
Machine Learning Engineer,Statistics,67
Machine Learning Engineer,Agile Methodologies,65
Machine Learning Engineer,Data Analysis,65
Machine Learning Engineer,Data Engineering,64
Machine Learning Engineer,Distributed Computing,64
Data Architect,SQL,226
Data Architect,Python,195
Data Architect,Data Architecture,150
Data Architect,AWS,149
Data Architect,Data Modeling,143
Data Architect,Azure,121
Data Architect,Data Governance,120
Data Architect,Data Warehousing,102
Data Architect,Communication,99
Data Architect,Snowflake,91
Data Architect,Data Architect,88
Data Architect,Hadoop,85
Data Architect,Data Integration,84
Data Architect,Data Engineering,83
Data Architect,Data Analytics,83
Data Architect,ETL,77
Data Architect,Data architecture,76
Data Architect,Machine Learning,72
Data Architect,Spark,69
Data Architect,Java,67
Data Architect,Data Management,67
Data Architect,Computer Science,66
Data Architect,Data Quality,65
Data Architect,Data Security,64
Data Architect,Data modeling,62
Data Architect,NoSQL,61
Data Architect,Data Visualization,61
Data Architect,Scala,60
Data Architect,Power BI,59
Data Architect,Tableau,59
Data Architect,Kafka,59
Data Architect,Business Intelligence,58
Data Architect,GCP,56
Data Architect,Data governance,55
Data Architect,Databricks,54
Data Architect,Collaboration,52
Data Architect,SQL Server,50
Data Architect,DevOps,50
Data Architect,Data Analysis,48
Data Architect,Big Data,47
Data Architect,Data warehousing,46
Data Architect,Agile,46
Data Architect,CI/CD,44
Data Architect,Data Pipelines,43
Data Architect,Leadership,43
Data Architect,Cloud Computing,41
Data Architect,Azure Data Factory,40
Data Architect,Data integration,40
Data Architect,Communication Skills,39
Data Architect,Project Management,38
Database Administrator,SQL,241
Database Administrator,Database Administration,130
Database Administrator,Oracle,114
Database Administrator,SQL Server,104
Database Administrator,Python,86
Database Administrator,Troubleshooting,78
Database Administrator,Linux,77
Database Administrator,AWS,75
Database Administrator,Communication,66
Database Administrator,PL/SQL,62
Database Administrator,MySQL,61
Database Administrator,Performance Tuning,55
Database Administrator,PostgreSQL,53
Database Administrator,ETL,52
Database Administrator,Data Modeling,52
Database Administrator,SSIS,49
Database Administrator,Disaster Recovery,48
Database Administrator,Azure,46
Database Administrator,Database Design,44
Database Administrator,Teamwork,43
Database Administrator,Java,43
Database Administrator,Communication Skills,41
Database Administrator,Computer Science,41
Database Administrator,TSQL,39
Database Administrator,Project Management,39
Database Administrator,Database Security,39
Database Administrator,SSRS,38
Database Administrator,MongoDB,37
Database Administrator,Database Management,37
Database Administrator,Data Warehousing,36
Database Administrator,Database administration,36
Database Administrator,Data modeling,36
Database Administrator,Database design,35
Database Administrator,Automation,35
Database Administrator,Documentation,35
Database Administrator,Data Analysis,33
Database Administrator,Data Integrity,33
Database Administrator,Microsoft SQL Server,32
Database Administrator,Git,32
Database Administrator,Performance tuning,32
Database Administrator,NoSQL,32
Database Administrator,Stored Procedures,31
Database Administrator,Communication skills,30
Database Administrator,Windows,30
Database Administrator,PowerShell,30
Database Administrator,DevOps,30
Database Administrator,Triggers,30
Database Administrator,Ansible,29
Database Administrator,High Availability,28
Database Administrator,Data Security,27
